Country,Video ID,Title,Channel,Published,Category ID,Views,Likes,Comments,Duration,Date_of_Record
US,afSgBNwmZrQ,Ariana Grande - petal (official music video),ArianaGrandeVevo,2026-07-31T15:00:06Z,10,4501178,472046,39424,PT6M51S,2026-08-01
US,1zip1rNaNYs,RAMAYANA - Official Trailer,Sony Pictures Entertainment,2026-07-30T05:13:28Z,24,14920590,372803,38073,PT4M10S,2026-08-01
US,XBmyzLcaDaI,OH MY GOD...,SMii7Y,2026-07-31T19:13:01Z,20,1492663,76131,3593,PT34M18S,2026-08-01
US,RIi9uULatdA,2FithyRicky - GMFU [Official Music Video],2FithyRicky ,2026-08-01T00:26:35Z,10,97843,8519,708,PT2M2S,2026-08-01
US,CPt7f_iPwlA,Raising Kanan Season 5 'Episode 8 Trailer Breakdown & Clues',MOVIE BOT,2026-08-01T10:04:24Z,1,10214,715,341,PT14M7S,2026-08-01
US,M3H8u3Y0S-s,Five Nights at Freddy's 2: 10/20 COMPLETE (no cheats),Markiplier,2026-07-31T23:28:08Z,20,1061408,164540,11621,PT19M33S,2026-08-01
US,d6tMnbLofJw,Hustle,Rod Wave - Topic,2026-07-31T04:01:32Z,10,364949,14829,497,PT2M20S,2026-08-01
US,JH25LjG7R7k,WICKER Official Trailer (2026) Alexander Skarsgård,Movie Trailers Source,2026-07-30T14:22:59Z,1,222704,3141,394,PT2M39S,2026-08-01
US,2uWyF61bwlM,SHIFT AT MIDNIGHT WITH DASHIE (ENDING),CaseOh,2026-07-31T22:00:36Z,20,325445,14725,963,PT2H40M19S,2026-08-01
US,e6iAAAObz3c,KATSEYE - Animal (on the dance floor),KATSEYE,2026-07-31T16:00:33Z,10,2324047,159690,18611,PT3M41S,2026-08-01
US,nSDo_Z_DrJQ,DRAMATIC RHOA Season 17 Reunion Extended Trailer Reactions + Casting TEA,Bingeworthy,2026-07-31T23:54:54Z,22,20673,1583,406,PT19M9S,2026-08-01
US,VtgPntcyWWU,🔴LIVE | MISTFALL HUNTER |  w/ John | FREAK BOB FRIDAY | #BUNGULATE,TheBurntPeanut,2026-08-01T10:29:51Z,20,707882,8844,44,PT11H54M59S,2026-08-01
US,Cv1AXnX8DjU,Five Nights at Freddy's: Secret of the Mimic Song - It Doesn't Matter - The Living Tombstone,The Living Tombstone,2026-07-31T16:00:06Z,10,685568,80288,6623,PT3M50S,2026-08-01
US,2X9tFQI4jis,"STREET FIGHTER Blanka vs. Ryu Special Look Trailer (2026) Jason Momoa, 50 Cent, Action Movie [4K]",Trailer Feed,2026-07-30T13:25:43Z,1,65234,269,67,PT1M19S,2026-08-01
US,Sue2_CktxAo,GTA5 - The Kortz Center Heist Ends Here! [Finale],VanossGaming,2026-08-01T03:12:28Z,20,274714,19641,649,PT26M57S,2026-08-01
US,UMzvn1VIBjo,PlaqueBoyMax - Diva (Official Music Video),PlaqueBoyMax,2026-07-31T20:21:02Z,10,184977,21149,1846,PT2M43S,2026-08-01
US,cNTGdpXAM5M,Steel Wool dropped ANOTHER Teaser for the Next FNAF Game!! | FNAF Theory,RyeToast,2026-07-31T18:15:03Z,20,69280,5040,657,PT13M13S,2026-08-01
